Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,I16_PLUS,TS_boundary,ALL,*,QUAL,*,0.3,0.428571,0.916168,0.352941,2,3,3033800718.000000,2546949881.000000,0.000000,20,.,.,10.000000,8.000000,,1.25,6,.,.,1.000000,5.000000,,0.2,14,.,.,9.000000,3.000000,,3.0,167,.,.,82.000000,70.000000,,1.17142857143,6,.,.,1.000000,5.000000,,0.2,8,.,.,3.000000,4.000000,,0.75,153,.,.,78.000000,61.000000,,1.27868852459
INDEL,I16_PLUS,TS_boundary,PASS,*,QUAL,*,0.3,0.428571,0.908497,0.352941,2,3,3033800718.000000,2546949881.000000,0.000000,20,.,.,10.000000,8.000000,,1.25,6,.,.,1.000000,5.000000,,0.2,14,.,.,9.000000,3.000000,,3.0,153,.,.,74.000000,66.000000,,1.12121212121,6,.,.,1.000000,5.000000,,0.2,8,.,.,3.000000,4.000000,,0.75,139,.,.,70.000000,57.000000,,1.22807017544
INDEL,I16_PLUS,TS_contained,ALL,*,QUAL,*,0.431257,0.713863,0.0,0.537687,385,471,2546949881.000000,2546949881.000000,0.000000,5586,.,.,3099.000000,1775.000000,,1.74591549296,2409,.,.,1091.000000,1128.000000,,0.96719858156,3177,.,.,2008.000000,647.000000,,3.10355486862,3376,.,.,1479.000000,1672.000000,,0.88456937799,2410,.,.,1139.000000,1129.000000,,1.00885739593,966,.,.,340.000000,543.000000,,0.626151012891,0,.,.,0.000000,0.000000,,
INDEL,I16_PLUS,TS_contained,PASS,*,QUAL,*,0.426065,0.726136,0.0,0.537026,367,429,2546949881.000000,2546949881.000000,0.000000,5586,.,.,3099.000000,1775.000000,,1.74591549296,2380,.,.,1074.000000,1117.000000,,0.961504028648,3206,.,.,2025.000000,658.000000,,3.07750759878,3279,.,.,1431.000000,1635.000000,,0.875229357798,2381,.,.,1122.000000,1118.000000,,1.00357781753,898,.,.,309.000000,517.000000,,0.597678916828,0,.,.,0.000000,0.000000,,
INDEL,I1_5,*,ALL,*,QUAL,*,0.410078,0.404247,0.270984,0.407142,14628,28594,2809091522,2546949881.000000,0.000000,234243,.,.,124673.000000,89844.000000,,1.38766083434,96058,.,.,37956.000000,54268.000000,,0.699417704725,138185,.,.,86717.000000,35576.000000,,2.43751405442,324093,.,.,181769.000000,135274.000000,,1.34370980381,95511,.,.,39822.000000,54037.000000,,0.736939504414,140758,.,.,101449.000000,38146.000000,,2.65949247628,87824,.,.,40498.000000,43091.000000,,0.939825021466
INDEL,I1_5,*,PASS,*,QUAL,*,0.383047,0.403684,0.236788,0.393095,11743,25279,2809091522,2546949881.000000,0.000000,234243,.,.,124673.000000,89844.000000,,1.38766083434,89726,.,.,36138.000000,50049.000000,,0.722052388659,144517,.,.,88535.000000,39795.000000,,2.22477698203,289520,.,.,168739.000000,116673.000000,,1.44625577469,89200,.,.,37911.000000,49833.000000,,0.760760941545,131765,.,.,97447.000000,33687.000000,,2.89271825927,68555,.,.,33381.000000,33153.000000,,1.00687720568
INDEL,I1_5,TS_boundary,ALL,*,QUAL,*,0.491597,0.389632,0.763543,0.434715,37,157,3033800718.000000,2546949881.000000,0.000000,476,.,.,231.000000,231.000000,,1.0,234,.,.,79.000000,153.000000,,0.516339869281,242,.,.,152.000000,78.000000,,1.94871794872,2529,.,.,1308.000000,1152.000000,,1.13541666667,233,.,.,80.000000,152.000000,,0.526315789474,365,.,.,278.000000,87.000000,,3.19540229885,1931,.,.,950.000000,913.000000,,1.04052573932
INDEL,I1_5,TS_boundary,PASS,*,QUAL,*,0.476891,0.388316,0.728924,0.42807,34,155,3033800718.000000,2546949881.000000,0.000000,476,.,.,231.000000,231.000000,,1.0,227,.,.,79.000000,147.000000,,0.537414965986,249,.,.,152.000000,84.000000,,1.80952380952,2147,.,.,1167.000000,949.000000,,1.22971548999,226,.,.,79.000000,146.000000,,0.541095890411,356,.,.,272.000000,84.000000,,3.2380952381,1565,.,.,816.000000,719.000000,,1.13490959666
INDEL,I1_5,TS_contained,ALL,*,QUAL,*,0.409912,0.404284,0.0,0.407079,14591,28437,2546949881.000000,2546949881.000000,0.000000,233767,.,.,124442.000000,89613.000000,,1.38866012744,95824,.,.,37877.000000,54115.000000,,0.699935322923,137943,.,.,86565.000000,35498.000000,,2.43858808947,235671,.,.,140913.000000,91944.000000,,1.53259592796,95278,.,.,39742.000000,53885.000000,,0.737533636448,140393,.,.,101171.000000,38059.000000,,2.65826742689,0,.,.,0.000000,0.000000,,
INDEL,I1_5,TS_contained,PASS,*,QUAL,*,0.382856,0.403724,0.0,0.393013,11709,25124,2546949881.000000,2546949881.000000,0.000000,233767,.,.,124442.000000,89613.000000,,1.38866012744,89499,.,.,36059.000000,49902.000000,,0.722596288726,144268,.,.,88383.000000,39711.000000,,2.22565535998,220383,.,.,135007.000000,83290.000000,,1.62092688198,88974,.,.,37832.000000,49687.000000,,0.76140640409,131409,.,.,97175.000000,33603.000000,,2.89185489391,0,.,.,0.000000,0.000000,,
