Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525466,162864,362602,421939,118484,139878,37798,0.309942,0.579935,0.331512,0.40398,,,1.52827573414,1.01704294148
INDEL,PASS,525466,162864,362602,421939,118484,139878,37798,0.309942,0.579935,0.331512,0.40398,,,1.52827573414,1.01704294148
SNP,ALL,3365115,1323849,2041266,1779533,210876,243864,208379,0.393404,0.862681,0.137038,0.540381,2.10012885565,1.98866991103,1.58119585325,0.456199824362
SNP,PASS,3365115,1323849,2041266,1779533,210876,243864,208379,0.393404,0.862681,0.137038,0.540381,2.10012885565,1.98866991103,1.58119585325,0.456199824362
